flag; num; time_ms; gps_time_s; gps_time_us; lat; lon; alt; angle; lat_base; lon_base; fix; crc
32;37;36796;60844;0;55.910854;37.805027;94.800003;27.969303;55.910927;37.805096;6;26843;
32;38;37791;60845;0;55.910854;37.805027;94.800003;27.969303;55.910927;37.805096;6;46053;
32;39;38783;60846;0;55.910854;37.805027;94.800003;27.969303;55.910927;37.805096;6;50162;
32;40;39772;60847;0;55.910854;37.805027;94.800003;27.969303;55.910927;37.805096;6;4935;
32;41;40790;60847;0;55.910889;37.805016;98.599998;49.648510;55.910927;37.805096;1;26434;
32;42;41780;60849;0;55.910889;37.805016;98.599998;49.648510;55.910927;37.805096;6;46909;
32;43;42753;60850;0;55.910889;37.805016;98.599998;49.648510;55.910927;37.805096;6;26642;
32;44;43751;60851;0;55.910889;37.805016;98.599998;49.648510;55.910927;37.805096;6;44784;
32;45;44740;60852;0;55.910851;37.804977;99.800003;40.982128;55.910927;37.805096;1;62158;
32;46;45733;60853;0;55.910843;37.804977;99.599998;38.302853;55.910927;37.805096;1;56995;
32;47;46733;60854;0;55.910843;37.804977;99.599998;38.302853;55.910927;37.805096;6;911;
32;48;47721;60855;0;55.910843;37.804977;99.599998;38.302853;55.910927;37.805096;6;31496;
32;49;48734;60856;0;55.910843;37.804977;99.599998;38.302853;55.910927;37.805096;6;26054;
32;50;49722;60857;0;55.910778;37.804970;99.800003;25.373116;55.910927;37.805096;6;41187;
32;51;50715;60858;0;55.910778;37.804970;99.800003;25.373116;55.910927;37.805096;6;11228;
32;52;51713;60859;0;55.910778;37.804970;99.800003;25.373116;55.910927;37.805096;6;14124;
32;53;52685;60860;0;55.910778;37.804970;99.800003;25.373116;55.910927;37.805096;6;25253;
32;54;53678;60861;0;55.910625;37.805340;171.100006;24.421328;55.910927;37.805096;1;22009;
32;55;54674;60862;0;55.910618;37.805340;171.300003;23.885979;55.910927;37.805096;1;53766;
32;56;55663;60863;0;55.910614;37.805340;171.600006;23.627161;55.910927;37.805096;1;28588;
32;57;56672;60864;0;55.910610;37.805344;171.899994;23.698017;55.910927;37.805096;1;20004;
32,58;57669;60865;0;55.910603;37.805344;172.100006;23.200104;55.910927;37.805096;1;31633;
32;59;58662;60866;0;55.910606;37.805347;172.699997;23.767330;55.910927;37.805096;1;31019;
32;60;59656;60867;0;55.910603;37.805347;172.600006;23.518684;55.910927;37.805096;1;56794;
32;61;60648;60868;0;55.910595;37.805347;172.699997;23.518684;55.910927;37.805096;1;21031;
32;62;61641;60869;0;55.910583;37.805351;172.600006;23.034826;55.910927;37.805096;1;40999;
32;63;62617;60870;0;55.910576;37.805355;172.100006;22.648304;55.910927;37.805096;1;44156;
32;64;63610;60871;0;55.910564;37.805355;171.399994;22.503038;55.910927;37.805096;1;34429;
32;65;64618;60872;0;55.910557;37.805359;171.000000;21.860163;55.910927;37.805096;1;15214;
32;66;65610;60873;0;55.910549;37.805359;170.600006;21.736937;55.910927;37.805096;1;25475;
32;67;66599;60874;0;55.910538;37.805363;170.399994;21.337755;55.910927;37.805096;1;12746;
32;68;67595;60875;0;55.910526;37.805363;169.600006;21.039263;55.910927;37.805096;1;59393;
32;69;68586;60876;0;55.910515;37.805359;168.800003;20.488337;55.910927;37.805096;1;62066;
32;70;69582;60877;0;55.910503;37.805351;167.600006;19.701651;55.910927;37.805096;1;20619;
32;71;70574;60878;0;55.910496;37.805336;166.000000;18.691332;55.910927;37.805096;1;32981;
32;72;71570;60879;0;55.910488;37.805328;165.199997;17.353083;55.910927;37.805096;1;5608;
32;73;72557;60879;0;55.910488;37.805328;165.199997;16.557209;55.910927;37.805096;1;24145;
32;74;73550;60881;0;55.910473;37.805325;164.300003;16.036041;55.910927;37.805096;1;29360;
32;75;74547;60882;0;55.910473;37.805328;164.000000;15.780478;55.910927;37.805096;1;33492;
32;76;75538;60882;0;55.910473;37.805328;164.000000;16.029789;55.910927;37.805096;1;48127;
32;77;76531;60883;0;55.910469;37.805336;163.899994;16.396931;55.910927;37.805096;1;24733;
32;78;77523;60884;0;55.910469;37.805340;163.800003;16.643063;55.910927;37.805096;1;1272;
32;79;78513;60885;0;55.910461;37.805344;163.300003;16.626553;55.910927;37.805096;1;34385;
