flag; num; time_ms; bme_temp; bme_press; photorez; ds_temp; status; find; crc
1;2;1002;2742;99778;1;0;1;0;42540
1;3;1337;2751;99781;1;266;1;0;18493
1;4;1652;2756;99782;1;266;1;0;60184
1;5;1982;2760;99784;1;267;1;0;17447
1;6;2328;2763;99784;1;267;1;0;34554
1;7;2643;2764;99784;1;267;1;0;46226
1;8;2869;2765;99783;1;267;1;0;24205
1;9;3308;2766;99784;1;267;1;0;44388
1;10;3630;2767;99784;1;267;1;0;29606
1;11;3855;2767;99784;1;268;1;0;20137
1;12;4296;2768;99784;1;268;1;0;994
1;13;4627;2768;99785;1;268;1;0;26086
1;14;4942;2769;99784;1;268;1;0;37015
1;15;5261;2769;99785;1;268;1;0;18292
1;16;5507;2769;99785;1;268;1;0;36976
1;17;5822;2769;99785;1;268;1;0;20571
1;18;6250;2769;99784;1;268;1;0;65193
1;19;6495;2769;99784;1;268;1;0;63995
1;20;6811;2770;99783;1;268;1;0;42171
1;21;7250;2770;99784;1;268;1;0;11986
1;22;7585;2770;99784;1;268;1;0;28639
1;23;7900;2770;99784;1;268;1;0;55280
1;24;8231;2771;99784;1;268;1;0;37035
1;25;8546;2771;99784;1;268;1;0;52734
1;26;8776;2771;99784;1;268;1;0;52581
1;27;9002;2771;99784;1;268;1;0;56988
1;28;9327;2771;99785;1;268;1;0;32571
1;29;9642;2771;99785;1;268;1;0;53862
1;30;9888;2771;99784;1;268;1;0;14006
1;31;10204;2772;99784;1;268;1;0;5146
1;32;10519;2772;99784;1;268;1;0;472
1;33;10745;2772;99784;1;268;1;0;36501
1;34;10976;2772;99783;1;268;1;0;5656
1;35;11295;2772;99784;1;268;1;0;56382
1;36;11626;2772;99783;1;268;1;0;52315
1;37;11966;2772;99784;1;268;1;0;42175
1;38;12282;2772;99784;1;268;1;0;17687
1;39;12507;2772;99784;1;268;1;0;60920
1;40;12822;2772;99785;1;268;1;0;33679
1;41;13158;2772;99785;1;268;1;0;44979
1;42;13387;2772;99784;1;268;1;0;34077
1;43;13703;2772;99784;1;268;1;0;49074
1;44;14145;2773;99784;1;268;1;0;27367
1;45;14371;2773;99784;1;268;1;0;43040
1;46;14686;2773;99784;1;268;1;0;64633
1;47;15129;2773;99785;1;268;1;0;45292
1;48;15360;2773;99786;1;268;1;0;45830
1;49;15675;2773;99787;1;268;1;0;35137
1;50;16111;2773;99790;1;268;1;0;20359
1;51;16341;2773;99791;1;268;1;0;25890
1;52;16656;2773;99791;1;268;1;0;48211
1;53;16885;2773;99790;1;268;1;0;23905
1;54;17201;2774;99789;1;268;1;0;5075
1;55;17431;2774;99788;1;268;1;0;9044
1;56;17769;2774;99787;1;268;1;0;47031
1;57;18085;2774;99787;1;268;1;0;52593
1;58;18400;2774;99787;1;268;1;0;15419
1;59;18647;2774;99786;1;268;1;0;5082
1;60;19068;2774;99785;1;268;1;0;27498
1;61;19386;2774;99784;1;268;1;0;12120
1;62;19632;2774;99784;1;20748;1;0;58920
1;63;20058;2774;99784;1;20748;1;0;27268
1;64;20391;2775;99784;1;268;1;0;46911
1;65;20735;2775;99784;1;268;1;0;53797
1;66;21055;2775;99783;1;268;1;0;58227
1;67;21283;2775;99783;1;268;1;0;20433
1;68;21601;2775;99784;1;268;1;0;53154
1;69;21838;2775;99784;1;268;1;0;28709
1;70;22059;2775;99784;1;268;1;0;64772
1;71;22286;2775;99785;1;268;1;0;15390
1;72;22604;2775;99784;1;268;1;0;28332
1;73;23066;2775;99784;1;268;1;0;62611
1;74;23387;2776;99783;1;268;1;0;3120
1;75;23705;2776;99783;1;268;1;0;4984
1;76;24060;2776;99784;1;269;1;0;46925
1;77;24378;2776;99784;1;269;1;0;50043
1;78;24700;2776;99785;1;269;1;0;28542
1;79;25036;2776;99785;1;268;1;0;24863
1;80;25268;2776;99785;1;268;1;0;52793
1;81;25587;2776;99785;1;268;1;0;45736
1;82;25819;2776;99785;1;268;1;0;4901
1;83;26142;2776;99784;1;268;1;0;36476
1;84;26376;2777;99784;1;268;1;0;9577
1;85;26604;2777;99784;1;5389;1;0;30711
1;86;27029;2777;99783;1;5389;1;0;37391
1;87;27370;2777;99784;1;5389;1;0;32983
1;88;27599;2777;99783;1;269;1;0;47071
