flag; num; time_ms; gps_time_s; gps_time_us; lat; lon; alt; angle; lat_base; lon_base; fix; crc
7;1;1297;78552;0;nan;nan;nan;nan;0.000000;0.000000;0;4364;
7;2;2289;78553;0;nan;nan;nan;nan;0.000000;0.000000;0;21694;
7;3;3275;78554;0;nan;nan;nan;nan;0.000000;0.000000;0;46237;
7;4;4261;78555;0;nan;nan;nan;nan;0.000000;0.000000;0;51086;
7;5;5246;78556;0;nan;nan;nan;nan;0.000000;0.000000;0;45352;
7;6;6214;78557;0;nan;nan;nan;nan;0.000000;0.000000;0;46424;
7;7;7213;78558;0;nan;nan;nan;nan;0.000000;0.000000;0;57681;
7;8;8198;78559;0;nan;nan;nan;nan;0.000000;0.000000;0;12172;
7;9;9191;78560;0;nan;nan;nan;nan;0.000000;0.000000;0;43289;
7;10;10173;78561;0;nan;nan;nan;nan;0.000000;0.000000;0;32854;
7;11;11158;78562;0;nan;nan;nan;nan;0.000000;0.000000;0;31560;
7;12;12143;78563;0;nan;nan;nan;nan;0.000000;0.000000;0;17553;
7;13;13128;78564;0;nan;nan;nan;nan;0.000000;0.000000;0;12063;
7;14;14123;78565;0;nan;nan;nan;nan;0.000000;0.000000;0;61284;
7;15;15119;78566;0;nan;nan;nan;nan;0.000000;0.000000;0;11126;
7;16;16080;78567;0;nan;nan;nan;nan;0.000000;0.000000;0;12570;
7;17;17072;78568;0;nan;nan;nan;nan;0.000000;0.000000;0;58866;
7;18;18056;78569;0;nan;nan;nan;nan;0.000000;0.000000;0;48043;
7;19;19043;78569;0;nan;nan;nan;nan;0.000000;0.000000;0;51603;
7;20;20027;78570;0;nan;nan;nan;nan;0.000000;0.000000;0;35162;
7;21;21014;78571;0;nan;nan;nan;nan;0.000000;0.000000;0;54391;
7;22;22000;78572;0;nan;nan;nan;nan;0.000000;0.000000;0;39997;
7;23;23000;78573;0;nan;nan;nan;nan;0.000000;0.000000;0;24646;
7;24;23982;78574;0;nan;nan;nan;nan;0.000000;0.000000;0;46118;
7;25;24969;78575;0;nan;nan;nan;nan;0.000000;0.000000;0;48006;
7;26;25938;78576;0;nan;nan;nan;nan;0.000000;0.000000;0;62168;
7;27;26926;78577;0;nan;nan;nan;nan;0.000000;0.000000;0;44941;
7;28;27908;78578;0;nan;nan;nan;nan;0.000000;0.000000;0;11533;
7;29;28895;78579;0;nan;nan;nan;nan;0.000000;0.000000;0;32826;
7;30;29883;78580;0;nan;nan;nan;nan;0.000000;0.000000;0;45401;
7;31;30880;78581;0;nan;nan;nan;nan;0.000000;0.000000;0;36382;
7;32;31870;78582;0;nan;nan;nan;nan;0.000000;0.000000;0;55077;
7;33;32856;78583;0;nan;nan;nan;nan;0.000000;0.000000;0;12273;
7;34;33844;78584;0;nan;nan;nan;nan;0.000000;0.000000;0;57929;
7;35;34830;78585;0;nan;nan;nan;nan;0.000000;0.000000;0;21466;
7;36;35791;78586;0;nan;nan;nan;nan;0.000000;0.000000;0;42018;
7;37;36778;78587;0;nan;nan;nan;nan;0.000000;0.000000;0;12533;
7;38;37767;78588;0;nan;nan;nan;nan;0.000000;0.000000;0;15399;
7;39;38764;78589;0;nan;nan;nan;nan;0.000000;0.000000;0;39402;
7;40;39753;78590;0;nan;nan;nan;nan;0.000000;0.000000;0;23358;
7;41;40736;78591;0;nan;nan;nan;nan;0.000000;0.000000;0;64537;
7;42;41724;78592;0;nan;nan;nan;nan;0.000000;0.000000;0;41630;
7;43;42714;78593;0;nan;nan;nan;nan;0.000000;0.000000;0;53131;
7;44;43696;78594;0;nan;nan;nan;nan;0.000000;0.000000;0;57884;
7;45;44678;78595;0;nan;nan;nan;nan;0.000000;0.000000;0;14934;
7;46;45650;78596;0;nan;nan;nan;nan;0.000000;0.000000;0;53459;
7;47;46647;78597;0;nan;nan;nan;nan;0.000000;0.000000;0;17412;
7;48;47632;78598;0;nan;nan;nan;nan;0.000000;0.000000;0;13445;
7;49;48619;78599;0;nan;nan;nan;nan;0.000000;0.000000;0;24532;
7;50;49608;78600;0;nan;nan;nan;nan;0.000000;0.000000;0;16298;
7;51;50598;78601;0;nan;nan;nan;nan;0.000000;0.000000;0;30014;
7;52;51580;78602;0;nan;nan;nan;nan;0.000000;0.000000;0;27956;
7;53;52563;78603;0;nan;nan;nan;nan;0.000000;0.000000;0;9941;
7;54;53557;78604;0;nan;nan;nan;nan;0.000000;0.000000;0;378;
7;55;54776;78605;0;nan;nan;nan;nan;0.000000;0.000000;0;51152;
7;56;55741;78606;0;nan;nan;nan;nan;0.000000;0.000000;0;35493;
7;57;56727;78607;0;nan;nan;nan;nan;0.000000;0.000000;0;54336;
7;58;57717;78608;0;nan;nan;nan;nan;0.000000;0.000000;0;58068;
7;59;58702;78609;0;nan;nan;nan;nan;0.000000;0.000000;0;64805;
7;60;59687;78610;0;nan;nan;nan;nan;0.000000;0.000000;0;56398;
7;61;60674;78611;0;nan;nan;nan;nan;0.000000;0.000000;0;48551;
7;62;61659;78612;0;nan;nan;nan;nan;0.000000;0.000000;0;47576;
7;63;62661;78613;0;nan;nan;nan;nan;0.000000;0.000000;0;51634;
7;64;63646;78614;0;nan;nan;nan;nan;0.000000;0.000000;0;7760;
7;65;64630;78615;0;nan;nan;nan;nan;0.000000;0.000000;0;46945;
7;66;65595;78616;0;nan;nan;nan;nan;0.000000;0.000000;0;1785;
7;67;66582;78617;0;nan;nan;nan;nan;0.000000;0.000000;0;46511;
7;68;67568;78618;0;nan;nan;nan;nan;0.000000;0.000000;0;54651;
7;69;68553;78619;0;nan;nan;nan;nan;0.000000;0.000000;0;26644;
7;70;69540;78620;0;nan;nan;nan;nan;0.000000;0.000000;0;32643;
7;71;70540;78621;0;nan;nan;nan;nan;0.000000;0.000000;0;14250;
7;72;71527;78622;0;nan;nan;nan;nan;0.000000;0.000000;0;27507;
7;73;72509;78623;0;nan;nan;nan;nan;0.000000;0.000000;0;21825;
7;74;73503;78624;0;nan;nan;nan;nan;0.000000;0.000000;0;17368;
7;75;74488;78625;0;nan;nan;nan;nan;0.000000;0.000000;0;27226;
7;76;75449;78626;0;nan;nan;nan;nan;0.000000;0.000000;0;47416;
7;77;76438;78627;0;nan;nan;nan;nan;0.000000;0.000000;0;43248;
7;78;77426;78628;0;nan;nan;nan;nan;0.000000;0.000000;0;25550;
7;79;78423;78629;0;nan;nan;nan;nan;0.000000;0.000000;0;60508;
