flag; num; time_ms; bme_temp; bme_press; photorez; ds_temp; status; find; crc
1;2;1113;2955;99080;0;288;0;0;4879
1;3;1434;2962;99083;0;288;0;0;64617
1;4;1749;2967;99085;0;288;0;0;4795
1;5;1974;2969;99085;0;289;0;0;16320
1;6;2319;2972;99086;0;289;0;0;57651
1;7;2634;2973;99087;0;289;0;0;24869
1;8;2860;2974;99086;0;289;0;0;21126
1;9;3303;2976;99087;0;289;0;0;48536
1;10;3617;2977;99087;0;289;0;0;8402
1;11;3853;2977;99087;0;289;0;0;44659
1;12;4272;2978;99087;0;289;0;0;1960
1;13;4506;2979;99086;0;289;0;0;30319
1;14;4731;2979;99086;0;5410;0;0;30538
1;15;5050;2980;99087;0;5410;0;0;35806
1;16;5366;2980;99087;0;5410;0;0;50593
1;17;5615;2981;99087;0;1570;0;0;65393
1;18;5930;2981;99087;0;1570;0;0;5758
1;19;6251;2982;99087;0;1570;0;0;5688
1;20;6476;2982;99087;0;290;0;0;39810
1;21;6714;2982;99087;0;290;0;0;38299
1;22;7028;2983;99087;0;290;0;0;38788
1;23;7254;2983;99088;0;290;0;0;58060
1;24;7569;2983;99088;0;290;0;0;6763
1;25;7805;2983;99088;0;290;0;0;23727
1;26;8240;2984;99088;0;290;1;0;49299
1;27;8555;2984;99087;0;290;1;0;47253
1;28;8793;2984;99087;0;290;1;0;26880
1;29;9022;2984;99088;0;290;1;0;63389
1;30;9338;2985;99088;0;290;1;0;37869
1;31;9656;2985;99088;0;290;1;0;19486
1;32;9905;2985;99088;0;290;1;0;51559
1;33;10220;2986;99088;0;290;1;0;49798
1;34;10535;2986;99089;0;290;1;0;34763
1;35;10761;2986;99089;0;290;1;0;26823
1;36;10996;2986;99088;0;290;1;0;62692
1;37;11315;2987;99088;0;290;3;1;11200
1;38;11646;2987;99088;0;10530;3;1;61207
1;39;11960;2987;99088;0;10530;3;1;13061
1;40;12194;2987;99088;0;10530;3;1;35285
1;41;12524;2988;99088;0;290;3;1;59399
1;42;12847;2988;99088;0;290;3;1;25412
1;43;13188;2988;99088;0;290;3;1;28483
1;44;13414;2989;99088;0;290;3;1;60778
1;45;13729;2989;99088;0;290;3;1;25075
1;46;14153;2989;99088;0;290;3;1;24708
1;47;14402;2989;99089;0;290;3;1;43518
1;48;14716;2990;99089;0;290;3;1;37724
1;49;15152;2990;99088;0;291;3;1;50094
1;50;15388;2990;99088;0;291;3;1;8619
1;51;15702;2990;99088;0;291;3;1;35136
1;52;16138;2991;99087;0;291;3;1;51910
1;53;16476;2991;99086;0;291;3;1;22773
1;54;16794;2991;99086;0;291;3;1;26769
1;55;17129;2991;99086;0;291;3;1;13794
1;56;17444;2992;99086;0;291;3;1;54504
1;57;17678;2992;99087;0;291;3;1;57420
1;58;17904;2992;99086;0;291;3;1;1366
1;59;18223;2993;99087;0;291;3;1;26041
1;60;18538;2993;99086;0;291;3;1;54683
1;61;18789;2993;99085;0;291;3;1;12004
1;62;19103;2993;99086;0;291;3;1;49288
1;63;19422;2993;99085;0;291;3;1;42671
1;64;19648;2993;99085;0;291;3;1;3807
1;65;19882;2994;99086;0;291;3;1;11625
1;66;20201;2994;99086;0;291;3;1;65030
1;67;20426;2994;99085;0;291;3;1;64995
1;68;20741;2995;99085;0;291;3;1;3353
1;69;21086;2995;99085;0;291;3;1;60280
1;70;21311;2995;99085;0;291;3;1;26040
1;71;21626;2996;99085;0;291;3;1;12894
1;72;22073;2996;99085;0;291;3;1;37172
1;73;22299;2996;99085;0;291;3;1;64201
1;74;22613;2996;99085;0;291;3;1;27787
1;75;23072;2997;99085;0;291;3;1;48883
1;76;23386;2997;99085;0;291;3;1;53275
1;77;23701;2997;99085;0;291;3;1;6953
1;78;24036;2998;99085;0;291;3;1;17485
1;79;24269;2998;99085;0;291;3;1;55791
1;80;24588;2998;99085;0;291;3;1;28509
1;81;24813;2998;99085;0;291;3;1;5550
1;82;25132;2999;99085;0;291;3;1;64074
1;83;25365;2999;99086;0;291;3;1;16762
1;84;25696;2999;99086;0;5411;3;1;52161
1;85;26012;3000;99086;0;5411;3;1;4671
1;86;26351;3000;99086;0;5411;3;1;58195
1;87;26580;3000;99086;0;291;3;1;53259
1;88;27007;3000;99085;0;291;3;1;43474
1;89;27321;3001;99085;0;291;3;1;12451
1;90;27570;3001;99085;0;291;3;1;23729
1;91;27990;3001;99086;0;291;3;1;52585
1;92;28321;3002;99086;0;291;3;1;2111
1;93;28554;3002;99087;0;291;3;1;11385
1;94;28974;3002;99087;0;291;3;1;9167
1;95;29200;3003;99087;0;291;3;1;38817
1;96;29522;3003;99087;0;291;3;1;40067
1;97;29760;3003;99087;0;291;3;1;5574
1;98;30091;3003;99087;0;291;3;1;61912
1;99;30405;3003;99087;0;291;3;1;23250
1;100;30744;3004;99087;0;291;3;1;14732
1;101;30970;3004;99086;0;291;3;1;43536
1;102;31284;3004;99086;0;291;3;1;62761
1;103;31598;3004;99087;0;291;3;1;39818
1;104;31953;3005;99088;0;291;3;1;58860
1;105;32271;3005;99088;0;291;3;1;2251
1;106;32589;3006;99089;0;291;3;1;40131
1;107;32948;3006;99089;0;291;3;1;59260
1;108;33263;3006;99089;0;291;3;1;42356
1;109;33596;3006;99088;0;292;3;1;9140
1;110;33913;3007;99089;0;292;3;1;36719
1;111;34146;3007;99089;0;292;3;1;20835
1;112;34476;3007;99089;0;292;3;1;19970
1;113;34900;3008;99089;0;292;3;1;52322
1;114;35136;3008;99089;0;292;3;1;19407
1;115;35362;3008;99089;0;292;3;1;6239
1;116;35677;3008;99089;0;292;3;1;9693
1;117;35993;3008;99088;0;292;3;1;32912
1;118;36240;3008;99088;0;292;3;0;56679
1;119;36554;3009;99088;0;292;3;0;28295
1;120;36871;3009;99088;0;292;3;0;27364
1;121;37096;3009;99088;0;292;3;0;62795
1;122;37333;3009;99088;0;292;3;0;55574
1;123;37656;3010;99088;0;292;3;0;54451
1;124;37987;3010;99089;0;292;3;0;45643
1;125;38301;3010;99089;0;292;3;0;35619
