flag; num; time_ms; accl_x; accl_y; accl_z; gyro_x; gyro_y; gyro_z; mag_x; mag_y; mag_z; crc
48;1;1146;-912;1783;198;122;-337;90;-392;995;-1419;44905
48;2;1461;-533;1848;292;335;-56;270;-364;1011;-1366;9995
48;3;1776;-556;1823;256;-178;-334;-98;-294;1020;-1392;58105
48;4;2139;-657;1955;288;-54;-74;-100;-344;1004;-1417;3661
48;5;2455;-681;1893;337;-103;-32;72;-375;1006;-1438;17629
48;6;2770;-794;1859;430;-277;-55;-569;-377;1008;-1466;586
48;7;2996;-980;1740;403;73;-102;-641;-459;966;-1466;64996
48;8;3437;-1224;1681;91;478;209;-16;-554;899;-1326;30770
48;9;3774;-1417;1555;49;133;-6;-38;-605;840;-1225;36963
48;10;4088;-1374;1537;-126;-56;20;69;-629;826;-1226;57314
48;11;4424;-1173;1271;-88;-168;-57;259;-623;851;-1257;38424
48;12;4755;-1109;1869;337;-236;-12;93;-544;945;-1418;6360
48;13;5073;-1072;1740;326;-19;-108;-83;-522;950;-1440;48007
48;14;5410;-1061;1704;387;24;13;72;-517;944;-1439;63097
48;15;5636;-1087;1674;342;84;21;53;-527;950;-1429;52632
48;16;5951;-1133;1739;225;405;155;187;-525;931;-1387;41152
48;17;6390;-998;1801;77;-22;-74;7;-485;929;-1335;32831
48;18;6624;-1001;1807;63;-10;-35;-19;-490;930;-1322;26917
48;19;6939;-1059;1745;155;73;-23;66;-509;927;-1363;3719
48;20;7378;-1244;1697;71;55;73;-68;-510;922;-1347;51411
48;21;7713;-728;1956;57;309;-262;209;-506;915;-1329;39881
48;22;8028;-1056;1735;168;17;-77;-21;-493;926;-1335;55049
48;23;8360;-1086;1741;112;69;-56;-4;-525;915;-1346;19213
48;24;8697;-1141;1718;78;-2;-38;-34;-532;903;-1327;6270
48;25;9244;-1079;1749;85;13;-60;4;-522;911;-1342;43315
48;26;9559;-1103;1729;115;-11;-48;-40;-528;912;-1331;17749
48;27;9794;-1110;1731;113;-15;-45;-43;-533;906;-1330;52221
48;28;10019;-1112;1739;101;8;-35;-26;-529;912;-1326;39056
48;29;10335;-1087;1737;118;10;-38;-25;-521;916;-1331;1452
48;30;10651;-1112;1729;111;29;-26;-17;-544;911;-1325;38290
48;31;10897;-1093;1747;98;21;-40;3;-544;905;-1333;21379
48;32;11213;-1088;1751;107;14;-42;0;-532;901;-1336;11856
48;33;11532;-1078;1760;85;22;-36;11;-531;907;-1331;1586
48;34;11758;-1105;1747;112;30;-37;-22;-536;909;-1339;24979
48;35;12202;-1134;1729;92;48;-91;-21;-531;905;-1324;59359
48;36;12638;-1125;1707;136;-6;-52;-39;-531;902;-1339;44292
48;37;12953;-1112;1739;97;29;-28;-29;-542;894;-1323;59049
48;38;13293;-1145;1699;103;21;-42;25;-548;891;-1339;59953
48;39;13519;-1149;1728;56;26;-8;-46;-539;896;-1332;63085
48;40;13834;-1109;1734;106;5;-44;-42;-549;895;-1339;45566
48;41;14292;-1064;1769;115;-50;37;-107;-553;883;-1328;47116
48;42;14607;-1174;1682;110;5;-40;-8;-548;890;-1330;18314
48;43;14923;-1132;1728;78;34;-39;15;-544;892;-1334;7550
48;44;15282;-1134;1717;106;29;-36;-3;-547;890;-1338;35730
48;45;15597;-1143;1713;99;7;-45;-6;-551;890;-1334;31178
48;46;15912;-1136;1716;85;29;-34;17;-541;882;-1341;33351
48;47;16243;-1132;1717;102;21;-42;6;-552;896;-1332;19207
48;48;16476;-1139;1700;95;13;-45;-9;-556;895;-1327;39616
