 time_ms; accl_x; accl_y; accl_z;;;;;;;;;time;acc_x;acc_y;acc_z;;;;;;
1497532;-87;92;2123;;-42,456;44,896;1036,024;;;;;1496;-0,042456;0,044896;1,036024;;;;;;1497532
1497872;-92;84;2125;;-44,896;40,992;1037;;;;;1497,872;-0,044896;0,040992;1,037;;;;;;1497872
1498205;-92;86;2124;;-44,896;41,968;1036,512;;;;;1498,205;-0,044896;0,041968;1,036512;;;;;;1498205
1498525;-88;85;2126;;-42,944;41,48;1037,488;;;;;1498,525;-0,042944;0,04148;1,037488;;;;;;1498525
1498866;-90;85;2123;;-43,92;41,48;1036,024;;;;;1498,866;-0,04392;0,04148;1,036024;;;;;;1498866
1499098;-90;89;2122;;-43,92;43,432;1035,536;;;;;1499,098;-0,04392;0,043432;1,035536;;;;;;1499098
1499417;-90;87;2124;;-43,92;42,456;1036,512;;;;;1499,417;-0,04392;0,042456;1,036512;;;;;;1499417
1499637;-91;87;2123;;-44,408;42,456;1036,024;;;;;1499,637;-0,044408;0,042456;1,036024;;;;;;1499637
1499993;-54;46;2157;;-26,352;22,448;1052,616;;;;;1499,993;-0,026352;0,022448;1,052616;;;;;;1499993
1500524;-93;80;2128;;-45,384;39,04;1038,464;;;;;1500,524;-0,045384;0,03904;1,038464;;;;;;1500524
1500857;-110;217;2135;;-53,68;105,896;1041,88;;;;;1500,857;-0,05368;0,105896;1,04188;;;;;;1500857
1501093;-164;93;2117;;-80,032;45,384;1033,096;;;;;1501,093;-0,080032;0,045384;1,033096;;;;;;1501093
1501412;-122;118;2115;;-59,536;57,584;1032,12;;;;;1501,412;-0,059536;0,057584;1,03212;;;;;;1501412
1501856;-72;77;2127;;-35,136;37,576;1037,976;;;;;1501,856;-0,035136;0,037576;1,037976;;;;;;1501856
1502196;-47;140;2104;;-22,936;68,32;1026,752;;;;;1502,196;-0,022936;0,06832;1,026752;;;;;;1502196
1502523;-92;81;2124;;-44,896;39,528;1036,512;;;;;1502,523;-0,044896;0,039528;1,036512;;;;;;1502523
1502751;-63;94;2125;;-30,744;45,872;1037;;;;;1502,751;-0,030744;0,045872;1,037;;;;;;1502751
1503073;-74;99;2124;;-36,112;48,312;1036,512;;;;;1503,073;-0,036112;0,048312;1,036512;;;;;;1503073
1503537;-91;93;2124;;-44,408;45,384;1036,512;;;;;1503,537;-0,044408;0,045384;1,036512;;;;;;1503537
1503855;-140;73;2094;;-68,32;35,624;1021,872;;;;;1503,855;-0,06832;0,035624;1,021872;;;;;;1503855
1504173;-104;64;2126;;-50,752;31,232;1037,488;;;;;1504,173;-0,050752;0,031232;1,037488;;;;;;1504173
1504531;-73;118;2114;;-35,624;57,584;1031,632;;;;;1504,531;-0,035624;0,057584;1,031632;;;;;;1504531
1504853;-16;33;2154;;-7,808;16,104;1051,152;;;;;1504,853;-0,007808;0,016104;1,051152;;;;;;1504853
1505175;-109;79;2125;;-53,192;38,552;1037;;;;;1505,175;-0,053192;0,038552;1,037;;;;;;1505175
