flag; num; time_ms; gps_time_s; gps_time_us; lat; lon; alt; angle; lat_base; lon_base; fix; crc
7;1726;1720334;31113;0;56.411373;40.976852;124.599998;187.666351;56.409657;40.976444;1;62123;
7;1727;1721343;31114;0;56.411415;40.976875;123.800003;187.494370;56.409657;40.976444;1;8204;
7;1728;1722347;31115;0;56.411476;40.976891;123.800003;187.722961;56.409657;40.976444;1;2130;
7;1729;1723344;31116;0;56.411522;40.976864;121.900002;187.727951;56.409657;40.976444;1;29923;
7;1730;1724344;31117;0;56.411541;40.976814;116.900002;187.094177;56.409657;40.976444;1;12130;
7;1731;1725341;31117;0;56.411541;40.976814;116.900002;186.200012;56.409657;40.976444;1;41920;
7;1732;1726354;31118;0;56.411533;40.976799;110.400002;185.970200;56.409657;40.976444;1;45509;
7;1733;1727332;31120;0;56.411476;40.976864;96.500000;186.443222;56.409657;40.976444;1;35125;
7;1734;1728332;31121;0;56.411438;40.976902;89.599998;187.270752;56.409657;40.976444;1;63287;
7;1735;1729332;31122;0;56.411411;40.976921;83.500000;188.091171;56.409657;40.976444;1;37488;
7;1736;1730327;31122;0;56.411411;40.976921;83.500000;188.549789;56.409657;40.976444;1;57268;
7;1737;1731324;31123;0;56.411396;40.976936;81.500000;188.895309;56.409657;40.976444;1;41569;
7;1738;1732333;31125;0;56.411388;40.976948;79.800003;188.982544;56.409657;40.976444;1;27926;
7;1739;1733327;31126;0;56.411388;40.976952;77.900002;189.138123;56.409657;40.976444;1;7521;
7;1740;1734339;31126;0;56.411388;40.976952;77.900002;189.206207;56.409657;40.976444;1;27047;
7;1741;1735338;31128;0;56.411400;40.976952;75.900002;189.254196;56.409657;40.976444;1;59876;
7;1742;1736335;31128;0;56.411400;40.976952;75.900002;189.146805;56.409657;40.976444;1;52346;
7;1743;1737314;31129;0;56.411407;40.976944;75.800003;188.972870;56.409657;40.976444;1;42024;
7;1744;1738311;31130;0;56.411411;40.976940;74.699997;188.886444;56.409657;40.976444;1;27247;
7;1745;1739305;31131;0;56.411411;40.976944;74.099998;188.953674;56.409657;40.976444;1;15767;
7;1746;1740312;31132;0;56.411411;40.976952;74.300003;189.088135;56.409657;40.976444;1;59934;
7;1747;1741307;31133;0;56.411407;40.976955;74.400002;189.174911;56.409657;40.976444;1;51511;
7;1748;1742324;31134;0;56.411407;40.976955;75.199997;189.174911;56.409657;40.976444;1;3136;
7;1749;1743327;31136;0;56.411407;40.976944;77.400002;189.040283;56.409657;40.976444;1;7543;
7;1750;1744321;31136;0;56.411407;40.976944;77.400002;188.972870;56.409657;40.976444;1;38407;
7;1751;1745322;31137;0;56.411415;40.976944;79.000000;188.934631;56.409657;40.976444;1;57833;
7;1752;1746321;31138;0;56.411423;40.976940;80.800003;188.829834;56.409657;40.976444;1;44264;
7;1753;1747296;31139;0;56.411430;40.976936;82.300003;188.725800;56.409657;40.976444;1;2863;
7;1754;1748296;31140;0;56.411434;40.976933;82.900002;188.640900;56.409657;40.976444;1;16356;
7;1755;1749294;31141;0;56.411434;40.976933;83.699997;188.640900;56.409657;40.976444;1;25048;
7;1756;1750307;31142;0;56.411434;40.976929;84.699997;188.574402;56.409657;40.976444;1;37778;
7;1757;1751309;31144;0;56.411438;40.976921;86.500000;188.489929;56.409657;40.976444;1;20079;
7;1758;1752303;31145;0;56.411442;40.976917;87.500000;188.423508;56.409657;40.976444;1;12600;
7;1759;1753301;31146;0;56.411446;40.976913;88.699997;188.339462;56.409657;40.976444;1;49481;
7;1760;1754305;31147;0;56.411446;40.976910;90.099998;188.255768;56.409657;40.976444;1;61294;
7;1761;1755307;31147;0;56.411446;40.976910;90.099998;188.189560;56.409657;40.976444;1;35773;
7;1762;1756301;31148;0;56.411449;40.976910;91.099998;188.172379;56.409657;40.976444;1;35253;
7;1763;1757276;31149;0;56.411449;40.976906;92.400002;188.106323;56.409657;40.976444;1;56619;
7;1764;1758289;31150;0;56.411453;40.976902;93.199997;188.023315;56.409657;40.976444;1;36427;
7;1765;1759285;31151;0;56.411457;40.976898;94.400002;187.940674;56.409657;40.976444;1;47197;
7;1766;1760289;31152;0;56.411457;40.976894;95.500000;187.874741;56.409657;40.976444;1;10762;
7;1767;1761287;31153;0;56.411457;40.976894;96.199997;187.874741;56.409657;40.976444;1;23401;
7;1768;1762285;31154;0;56.411461;40.976891;96.900002;187.792557;56.409657;40.976444;1;17714;
7;1769;1763287;31155;0;56.411461;40.976891;97.500000;187.792557;56.409657;40.976444;1;43561;
7;1770;1764282;31156;0;56.411461;40.976891;98.300003;187.792557;56.409657;40.976444;1;17671;
7;1771;1765284;31157;0;56.411461;40.976887;99.099998;187.726746;56.409657;40.976444;1;23151;
7;1772;1766300;31158;0;56.411465;40.976883;100.099998;187.644958;56.409657;40.976444;1;10263;
7;1773;1767271;31159;0;56.411465;40.976883;101.000000;187.644958;56.409657;40.976444;1;60202;
7;1774;1768269;31160;0;56.411469;40.976883;101.599998;187.629089;56.409657;40.976444;1;32344;
7;1775;1769267;31161;0;56.411469;40.976879;102.400002;187.563492;56.409657;40.976444;1;27723;
7;1776;1770266;31162;0;56.411472;40.976879;102.900002;187.547821;56.409657;40.976444;1;5482;
7;1777;1771271;31163;0;56.411469;40.976879;102.699997;187.563492;56.409657;40.976444;1;51343;
7;1778;1772266;31164;0;56.411465;40.976883;102.800003;187.644958;56.409657;40.976444;1;15369;
7;1779;1773260;31165;0;56.411461;40.976891;103.300003;187.792557;56.409657;40.976444;1;30422;
7;1780;1774282;31166;0;56.411461;40.976891;103.599998;187.792557;56.409657;40.976444;1;47567;
7;1781;1775276;31167;0;56.411461;40.976891;104.300003;187.792557;56.409657;40.976444;1;29901;
7;1782;1776275;31168;0;56.411465;40.976887;104.900002;187.710663;56.409657;40.976444;1;27704;
7;1783;1777258;31169;0;56.411465;40.976883;105.599998;187.644958;56.409657;40.976444;1;41478;
7;1784;1778252;31170;0;56.411469;40.976883;106.300003;187.629089;56.409657;40.976444;1;17072;
7;1785;1779255;31171;0;56.411469;40.976879;106.900002;187.563492;56.409657;40.976444;1;55229;
7;1786;1780249;31172;0;56.411469;40.976875;107.500000;187.497940;56.409657;40.976444;1;34994;
7;1787;1781245;31173;0;56.411472;40.976875;108.099998;187.482407;56.409657;40.976444;1;28447;
7;1788;1782266;31174;0;56.411472;40.976875;108.699997;187.482407;56.409657;40.976444;1;41607;
7;1789;1783260;31175;0;56.411472;40.976871;109.099998;187.416931;56.409657;40.976444;1;58567;
7;1790;1784262;31176;0;56.411476;40.976871;109.599998;187.401443;56.409657;40.976444;1;2361;
7;1791;1785260;31177;0;56.411476;40.976868;110.099998;187.336121;56.409657;40.976444;1;63290;
7;1792;1786255;31178;0;56.411476;40.976868;110.599998;187.336121;56.409657;40.976444;1;51313;
7;1793;1787248;31179;0;56.411472;40.976860;110.900002;187.220398;56.409657;40.976444;1;27005;
7;1794;1788246;31180;0;56.411469;40.976852;111.000000;187.103989;56.409657;40.976444;1;10457;
7;1795;1789240;31181;0;56.411465;40.976852;111.199997;187.118774;56.409657;40.976444;1;38975;
7;1796;1790256;31182;0;56.411461;40.976852;111.599998;187.133698;56.409657;40.976444;1;42545;
7;1797;1791250;31183;0;56.411465;40.976845;112.099998;186.987091;56.409657;40.976444;1;2417;
7;1798;1792260;31184;0;56.411465;40.976833;112.699997;186.789368;56.409657;40.976444;1;63183;
7;1799;1793255;31185;0;56.411465;40.976830;113.099998;186.723389;56.409657;40.976444;1;34174;
7;1800;1794249;31186;0;56.411465;40.976830;113.500000;186.723389;56.409657;40.976444;1;26036;
7;1801;1795252;31187;0;56.411465;40.976830;114.000000;186.723389;56.409657;40.976444;1;60948;
7;1802;1796250;31188;0;56.411465;40.976830;114.400002;186.723389;56.409657;40.976444;1;4880;
7;1803;1797225;31189;0;56.411465;40.976830;114.900002;186.723389;56.409657;40.976444;1;32705;
7;1804;1798240;31190;0;56.411469;40.976826;115.199997;186.643524;56.409657;40.976444;1;23541;
7;1805;1799239;31191;0;56.411469;40.976826;115.699997;186.643524;56.409657;40.976444;1;27735;
7;1806;1800242;31192;0;56.411465;40.976814;117.300003;186.459427;56.409657;40.976444;1;57834;
7;1807;1801236;31193;0;56.411465;40.976803;118.400002;186.261215;56.409657;40.976444;1;44413;
7;1808;1802229;31194;0;56.411461;40.976788;118.699997;186.009369;56.409657;40.976444;1;48074;
7;1809;1803251;31195;0;56.411461;40.976780;119.199997;185.876801;56.409657;40.976444;1;4236;
7;1810;1804246;31196;0;56.411465;40.976776;119.800003;185.798294;56.409657;40.976444;1;31141;
7;1811;1805249;31197;0;56.411469;40.976768;120.599998;185.654007;56.409657;40.976444;1;52739;
7;1812;1806257;31198;0;56.411472;40.976757;121.000000;185.444412;56.409657;40.976444;1;29789;
7;1813;1807232;31199;0;56.411472;40.976742;121.199997;185.180222;56.409657;40.976444;1;4498;
