flag; num; time_ms; bme_temp; bme_press; photorez; ds_temp; status; find; crc
1;2;992;2546;99167;0;0;1;0;26323
1;3;1328;2554;99170;0;246;1;0;49972
1;4;1643;2560;99173;0;246;1;0;47175
1;5;1973;2564;99174;0;247;1;0;27179
1;6;2318;2567;99175;0;247;1;0;47812
1;7;2633;2570;99176;0;247;1;0;18075
1;8;2859;2571;99176;0;247;1;0;25663
1;9;3305;2572;99176;0;247;1;0;45439
1;10;3620;2573;99176;0;247;1;0;39427
1;11;3849;2573;99176;0;247;1;0;1088
1;12;4289;2574;99176;0;247;1;0;42230
1;13;4619;2575;99175;0;248;1;0;49137
1;14;4934;2576;99175;0;248;1;0;7757
1;15;5254;2576;99172;0;248;1;0;22587
1;16;5502;2576;99171;0;248;1;0;28353
1;17;5817;2577;99171;0;248;1;0;59218
1;18;6237;2578;99170;0;248;1;0;41990
1;19;6483;2578;99170;0;248;1;0;14177
1;20;6797;2579;99170;0;248;1;0;54017
1;21;7237;2580;99169;0;248;1;0;28747
1;22;7575;2580;99168;0;248;1;0;50671
1;23;7890;2581;99168;0;248;1;0;40368
1;24;8222;2581;99167;0;248;1;0;47953
1;25;8536;2581;99166;0;248;1;0;3947
1;26;8766;2582;99166;0;248;1;0;31945
1;27;8992;2582;99166;0;248;1;0;61871
1;28;9315;2582;99166;0;248;1;0;59917
1;29;9629;2583;99166;0;248;1;0;38406
1;30;9877;2583;99165;0;248;1;0;62369
1;31;10193;2583;99165;0;248;1;0;48662
1;32;10508;2583;99165;0;248;1;0;55193
1;33;10740;2584;99166;0;248;1;0;40241
1;34;10970;2584;99166;0;248;1;0;56866
1;35;11286;2584;99165;0;248;1;0;62696
1;36;11620;2585;99164;0;248;1;0;32826
1;37;11955;2585;99163;0;248;1;0;31606
1;38;12271;2585;99163;0;248;1;0;975
1;39;12496;2585;99163;0;248;1;0;20605
1;40;12810;2586;99163;0;248;1;0;17737
1;41;13147;2586;99162;0;248;1;0;40412
1;42;13376;2586;99162;0;248;1;0;12148
1;43;13691;2586;99161;0;248;1;0;46464
1;44;14138;2586;99160;0;248;1;0;32601
1;45;14363;2586;99161;0;249;1;0;34468
1;46;14678;2586;99160;0;249;1;0;10423
1;47;15114;2586;99160;0;249;1;0;5212
1;48;15344;2586;99159;0;249;1;0;2504
1;49;15659;2586;99158;0;249;1;0;61214
1;50;16099;2587;99157;0;249;1;0;18390
1;51;16329;2587;99157;0;249;1;0;43835
1;52;16643;2587;99156;0;249;1;0;24509
1;53;16869;2587;99156;0;259;1;0;22700
1;54;17189;2587;99156;0;259;1;0;58057
1;55;17420;2587;99156;0;259;1;0;65465
1;56;17754;2587;99155;0;249;1;0;57092
1;57;18174;2588;99155;0;249;2;0;62860
1;58;18513;2588;99155;0;249;2;0;28422
1;59;18739;2588;99155;0;249;2;0;31999
1;60;19159;2588;99154;0;249;2;0;33122
1;61;19489;2588;99154;0;249;2;0;22405
1;62;19720;2588;99154;0;249;2;0;9809
1;63;20140;2588;99154;0;249;2;0;40833
1;64;20369;2588;99153;0;249;3;0;46500
1;65;20704;2588;99153;0;249;3;0;31566
1;66;21128;2588;99153;0;249;3;0;35377
1;67;21354;2589;99153;0;249;3;0;11427
1;68;21668;2589;99153;0;249;3;0;4979
1;69;21901;2589;99153;0;249;3;0;52920
1;70;22127;2589;99153;0;249;3;0;49471
1;71;22442;2589;99152;0;249;3;0;46123
1;72;22761;2589;99152;0;249;3;0;11826
1;73;23112;2589;99151;0;249;3;0;45730
1;74;23427;2589;99150;0;249;3;0;36597
1;75;23742;2589;99148;0;249;3;0;28351
1;76;24093;2590;99146;0;249;3;0;55220
1;77;24412;2590;99144;0;249;3;0;27098
1;78;24742;2590;99143;0;249;3;0;32822
1;79;25083;2590;99144;0;249;3;0;53057
1;80;25398;2590;99143;0;249;3;0;49681
1;81;25624;2591;99143;0;249;3;0;59564
1;82;26044;2591;99141;0;249;3;0;7609
1;83;26277;2591;99140;0;249;3;0;31313
1;84;26502;2591;99139;0;249;3;0;52467
1;85;26816;2592;99137;0;249;3;0;11139
1;86;27136;2592;99136;0;249;3;0;18863
1;87;27383;2592;99135;0;249;3;0;32688
1;88;27698;2592;99133;0;249;3;0;28415
1;89;28031;2592;99132;0;249;3;0;27891
1;90;28257;2592;99132;0;249;3;0;3555
1;91;28487;2592;99131;0;249;3;0;3115
1;92;28802;2593;99131;0;249;3;0;61985
1;93;29138;2593;99130;0;249;3;0;14934
1;94;29472;2593;99129;0;249;3;0;64270
1;95;29787;2593;99129;0;249;3;0;41407
1;96;30017;2593;99129;0;250;3;0;42330
1;97;30332;2593;99128;0;250;3;0;48440
1;98;30562;2593;99127;0;250;3;0;6002
1;99;30998;2593;99125;0;250;3;0;41327
1;100;31320;2593;99123;0;250;3;0;8081
1;101;31655;2593;99122;0;250;3;0;61010
1;102;31986;2593;99120;0;250;3;0;24849
1;103;32301;2593;99119;0;250;3;0;17114
1;104;32631;2593;99118;0;250;3;0;22599
1;105;32968;2593;99117;0;250;3;0;16714
1;106;33288;2594;99115;0;250;3;0;50558
1;107;33513;2594;99114;0;250;3;0;26564
1;108;33953;2594;99112;0;250;3;0;49863
1;109;34272;2594;99111;0;250;3;0;22313
1;110;34502;2594;99110;0;250;3;0;19299
1;111;34941;2594;99108;0;250;3;0;32972
1;112;35272;2594;99105;0;250;3;0;47867
1;113;35590;2594;99104;0;250;3;0;37268
1;114;35906;2594;99103;0;250;3;0;50419
1;115;36152;2594;99103;0;250;3;0;19995
1;116;36467;2594;99103;0;250;3;0;21115
1;117;36890;2594;99103;0;250;3;0;44452
1;118;37137;2594;99102;0;250;3;0;6655
1;119;37452;2594;99102;0;250;3;0;40402
1;120;37893;2594;99102;0;250;3;0;6334
1;121;38227;2595;99103;0;250;3;0;63462
1;122;38542;2594;99102;0;250;3;0;45814
1;123;38877;2595;99103;0;290;3;0;19903
1;124;39192;2595;99103;0;290;3;0;32248
1;125;39422;2595;99102;0;290;3;0;44524
1;126;39648;2595;99102;0;250;3;0;36743
1;127;39969;2595;99101;0;250;3;0;28983
1;128;40283;2595;99099;0;250;3;0;32079
1;129;40529;2595;99098;0;250;3;0;13696
1;130;40845;2595;99097;0;250;3;0;50635
1;131;41164;2595;99096;0;250;3;0;46975
1;132;41390;2595;99095;0;250;3;0;52149
1;133;41620;2595;99094;0;250;3;0;41337
1;134;41940;2595;99092;0;250;3;0;41962
1;135;42271;2595;99091;0;250;3;0;43721
1;136;42609;2595;99089;0;250;3;0;59724
1;137;42924;2595;99088;0;250;3;0;1353
1;138;43150;2596;99088;0;250;3;0;55709
1;139;43464;2596;99087;0;250;3;0;27616
1;140;43800;2596;99087;0;250;3;0;34715
1;141;44030;2596;99087;0;250;3;0;36806
1;142;44349;2596;99087;0;250;3;0;33879
1;143;44788;2596;99087;0;250;3;0;44539
1;144;45015;2596;99086;0;250;3;0;19150
1;145;45329;2596;99086;0;250;3;0;36005
1;146;45769;2596;99083;0;250;3;0;36603
1;147;46000;2596;99081;0;250;3;0;38278
1;148;46318;2596;99079;0;250;3;0;5925
1;149;46757;2596;99076;0;250;3;0;16283
1;150;46990;2596;99075;0;250;3;0;17974
1;151;47304;2596;99073;0;250;3;0;23496
1;152;47534;2596;99072;0;250;3;0;42958
1;153;47849;2596;99071;0;250;3;0;19832
1;154;48080;2596;99069;0;250;3;0;33310
