flag; num; time_ms; accl_x; accl_y; accl_z; gyro_x; gyro_y; gyro_z; mag_x; mag_y; mag_z; crc
48;1;1121;0;-32768;0;-4096;0;0;0;-24576;0;0
48;2;1437;0;0;0;17408;0;-24576;0;0;0;49152
48;3;1752;0;0;0;19456;0;-8192;0;-16384;0;28672
48;4;2115;0;8192;0;-3072;0;28672;0;16384;0;0
48;5;2430;0;8192;0;6656;0;16384;0;-32768;0;16384
48;6;2745;0;8192;0;13312;0;24576;0;0;0;32768
48;7;2972;0;20480;0;-10240;0;8192;0;0;0;16384
48;8;3418;0;-8192;0;-2048;0;-16384;0;-8192;0;0
48;9;3748;0;-24576;0;24576;0;8192;0;0;0;0
48;10;4063;0;-32768;0;5120;0;12288;0;-16384;0;32768
48;11;4405;0;16384;0;-9216;0;-4096;0;24576;0;49152
48;12;4735;0;12288;0;-4096;0;-32768;0;-32768;0;0
48;13;5054;0;28672;0;-22528;0;30720;0;16384;0;0
48;14;5395;0;-30720;0;-8704;0;-24576;0;16384;0;40960
48;15;5621;0;12288;0;-2048;0;-8192;0;16384;0;61440
48;16;5936;0;4096;0;-15360;0;28672;0;0;0;40960
48;17;6371;0;16384;0;15360;0;-32768;0;0;0;32768
48;18;6604;0;-12288;0;-2048;0;16384;0;0;0;49152
48;19;6920;0;-4096;0;20480;0;4096;0;0;0;49152
48;20;7355;0;0;0;19456;0;0;0;4096;0;32768
48;21;7699;0;0;0;-11264;0;0;0;20480;0;4096
48;22;8341;0;0;0;-17408;0;-24576;0;8192;0;45056
48;23;8678;0;-16384;0;-1024;0;8192;0;16384;0;16384
48;24;9227;0;0;0;31744;0;16384;0;0;0;32768
48;25;9541;0;8192;0;-22016;0;-16384;0;-12288;0;0
48;26;9776;0;0;0;28672;0;0;0;-32768;0;0
48;27;10006;0;-32768;0;-7168;0;0;0;-16384;0;24576
48;28;10322;0;-32768;0;-24576;0;0;0;-8192;0;18432
48;29;10637;0;-32768;0;-28672;0;0;0;-32768;0;8192
48;30;10885;0;-4096;0;-2560;0;12288;0;4096;0;45056
48;31;11202;0;-32768;0;20480;0;-24576;0;24576;0;24576
48;32;11520;0;24576;0;23552;0;0;0;28672;0;18432
48;33;11746;0;12288;0;-24576;0;-16384;0;-24576;0;57344
48;34;12193;0;-16384;0;-18432;0;16384;0;-26624;0;14336
48;35;12628;0;8192;0;25600;0;-16384;0;16384;0;64512
48;36;12943;0;24576;0;-20992;0;0;0;-14336;0;4096
48;37;13286;0;20480;0;12288;0;4096;0;24576;0;18432
48;38;13512;0;-28672;0;-14336;0;-24576;0;-20480;0;32768
48;39;13827;0;16384;0;-28672;0;0;0;16384;0;0
48;40;14288;0;24576;0;15360;0;16384;0;16384;0;0
48;41;14602;0;0;0;9216;0;0;0;0;0;12288
48;42;14921;0;0;0;-15360;0;-24576;0;0;0;52224
